286490247,"[4181719235, 4181719233, 4181719232]"
355063175,"[2049594031, 355403569, 436862086, 917142519]"
355063181,"[6008987170, 4784810914, 2048462896, 355404270]"
355063396,"[2048462929, 4183907894, 894391710]"
355063397,"[2048463013, 3828399228, 4670358036, 2048462929]"
355063399,"[3828399470, 2048462963, 917142516, 2048462928]"
355065351,"[4670358032, 355126399]"
355065352,"[2048462892, 2048462926, 2048462941, 355127303]"
355065354,"[2048462896, 2048415321, 4183870290, 4685480484]"
355126396,"[4183907893, 846808297, 355403568]"
355126399,"[355065351, 4670358030, 597262605]"
355127303,"[355065352, 2048462933, 2048462998]"
355403568,"[355403698, 355126396, 846808358]"
355403569,"[4183870290, 355403698, 355063175, 2048462924]"
355403697,"[2048415320, 2048415321, 846808285]"
355403698,"[355403569, 355403568, 4183907893]"
355403884,"[2048462963, 7531811471, 4183907783]"
355404270,"[7513254339, 894391813, 355063181, 4183907894]"
355779944,"[7513254339, 4183907894, 2048462926]"
436832396,"[4131931175, 1326196556, 1326461855, 4131931170]"
436861500,"[1326196641, 5034061200, 1326196564, 4183978805]"
436862084,"[2048415316, 1433691619, 4183937324]"
436862086,"[355063175, 917142522, 2048415316, 846808358]"
595750358,"[595750359, 595760166, 917142770]"
595750359,"[1904250963, 872558332, 595750358]"
595760135,[875533115]
595760166,"[595750358, 7516311144]"
595760171,"[7516311144, 917142696]"
596482732,"[4181601814, 4182358248, 597262528, 2110338712]"
597262474,"[4735628235, 597262591, 597262560]"
597262475,"[872558337, 7516311146, 872558390, 872558393]"
597262476,"[597262477, 597262481, 597262538, 7516311146]"
597262477,"[597262480, 597262476]"
597262480,"[597262477, 597262538]"
597262481,"[597262482, 597262560, 597262476]"
597262482,"[7516311156, 597262481]"
597262487,"[4181601813, 597262492, 597262508]"
597262490,"[597262509, 597262492, 597262508]"
597262492,"[597262517, 597262490, 597262487]"
597262493,"[597262494, 4181658454]"
597262494,"[597262516, 597262493, 597262509]"
597262496,"[597262509, 597262499]"
597262497,"[597262512, 597262499, 597262511]"
597262499,"[597262496, 597262497, 597262512]"
597262500,[597262501]
597262501,"[597262503, 597262500]"
597262503,"[597262504, 597262501]"
597262504,"[597262503, 4181658454, 597262530]"
597262508,"[597262490, 597262487, 597262511]"
597262509,"[597262494, 597262490, 597262496]"
597262511,"[597262497, 597262508, 597262548]"
597262512,"[597262499, 597262497, 2770015875]"
597262516,"[597262517, 597262529, 4181658454, 597262494]"
597262517,"[4181601813, 597262528, 597262516, 597262492]"
597262528,"[596482732, 597262529, 597262517]"
597262529,"[597262530, 7520731924, 597262528, 597262516]"
597262530,"[597262504, 1905044342, 597262529]"
597262538,"[597262476, 597262480, 7516311145]"
597262546,"[1904250971, 597262548, 7516311161, 1904250980]"
597262548,"[2770015875, 597262511, 597262546, 4735628235]"
597262560,"[4735628232, 597262474, 597262481]"
597262567,"[860338492, 860338458, 871417860]"
597262570,"[860338561, 871417860, 867095709, 860338496]"
597262582,"[872558393, 1904250963]"
597262591,"[1904250980, 872558337, 872558301, 597262474]"
597262605,"[355126399, 3828399252, 2048462937]"
733859234,"[733859260, 860338537, 917142672, 2280678850]"
733859260,"[2280678848, 2280678849, 860338476, 733859234]"
733859395,"[2280678853, 917142687, 917142672, 875533131]"
765870470,"[1433691633, 2477250033, 917142627, 860812978]"
765870482,"[4183827341, 917142626, 917142533, 2280678849]"
765870499,"[3828399523, 917142507, 7535653481, 3828399527]"
846808283,"[4184001060, 1326196580]"
846808285,"[355403697, 2048415323, 2048463014, 1433691563]"
846808297,"[355126396, 846808358, 4685473178, 7520731936]"
846808358,"[355403568, 436862086, 846808297]"
860338420,"[4182358251, 860338460, 860338423]"
860338423,"[3242819187, 860338420, 860338581, 860338541]"
860338424,"[860338478, 860338435, 860338527]"
860338425,"[860338447, 860338461, 860338483, 860338584]"
860338433,"[860338563, 860338566, 860338448, 860338457]"
860338435,"[860338424, 860338483, 860338529]"
860338436,"[4182358250, 860338484, 860338452]"
860338438,"[860338520, 860338545, 860338553]"
860338439,"[860338550, 860338562, 860338560]"
860338441,"[872558374, 872558301, 872558364]"
860338442,"[860338550, 7527831193, 860338479]"
860338446,"[860338540, 860338498, 860338575, 4182358253]"
860338447,"[2280678835, 860338496, 860338425]"
860338448,"[860338485, 860338433, 860338574]"
860338449,"[860338563, 860338582, 4182358261]"
860338452,"[860338436, 1904250960, 860338500]"
860338453,"[872558164, 872558193, 860338468]"
860338454,"[4182218097, 917142687, 860338537, 917142672]"
860338457,"[860338433, 860338582, 860338504]"
860338458,"[1904250965, 860338499, 597262567]"
860338460,"[860338420, 860338536, 860338499]"
860338461,"[2280678833, 7535661790, 860338425, 860338478]"
860338463,"[4182358256, 860338521, 860338523]"
860338465,"[4182358254, 860338500, 7527831191]"
860338466,"[860338494, 860338557, 860338505]"
860338468,"[860338453, 872558346, 872558370]"
860338471,"[860338494, 4182358257, 921145156]"
860338476,"[733859260, 872558200, 872558327]"
860338478,"[860338483, 860338461, 860338424]"
860338479,"[860338442, 4182358257, 860338494]"
860338480,"[860338498, 860338502, 921145156]"
860338483,"[860338425, 860338478, 860338435]"
860338484,"[7527831191, 860338436, 860338547]"
860338485,"[5034061185, 7527831195, 860338448]"
860338489,"[860338509, 7527831195, 860338593]"
860338492,"[860338499, 860338561, 597262567]"
860338493,"[875533131, 917142706, 3689211646]"
860338494,"[860338547, 860338479, 860338471, 860338466]"
860338496,"[860338447, 597262570, 867095687, 3734588280]"
860338497,"[860338553, 860338559, 860338520]"
860338498,"[860338564, 860338446, 860338480]"
860338499,"[860338460, 860338458, 3242819187, 860338492]"
860338500,"[860338465, 860338452, 860338586]"
860338502,"[4182358253, 860338562, 860338480]"
860338503,"[860338505, 7535661789, 7527831192]"
860338504,"[860338582, 860338457, 4182358261, 7527831195]"
860338505,"[860338466, 860338503, 860338592]"
860338509,"[7516324196, 860338489, 860338559]"
860338510,"[1904250977, 4182358245, 860338521]"
860338513,"[860338576, 860338547, 4182358250]"
860338515,"[7527831192, 4182358254, 7516324184]"
860338517,"[3242819187, 6598411369, 860338565]"
860338519,"[7516324183, 1904250965, 860338536]"
860338520,"[860338497, 4182358260, 860338438]"
860338521,"[860338586, 860338510, 860338463]"
860338523,"[860338463, 4182358245, 872558306, 7516324183]"
860338524,"[4182358259, 4182358260, 860338544]"
860338527,"[860338424, 860338546, 7535661792]"
860338529,"[860338435, 860338546, 4182358262]"
860338536,"[860338519, 860338460, 4182358251]"
860338537,"[860338454, 917142666, 733859234]"
860338538,"[4182358249, 1904250981, 4182358244]"
860338540,"[860338559, 860338593, 860338446]"
860338541,"[860338423, 860338565, 860338548]"
860338544,"[860338524, 860338548, 860338545]"
860338545,"[860338544, 860338438, 7535653482]"
860338546,"[860338529, 860338527, 860338583]"
860338547,"[860338513, 860338484, 860338550, 860338494]"
860338548,"[860338541, 7520731929, 860338544, 860338567]"
860338549,"[860338551, 872558195, 872558232]"
860338550,"[860338547, 860338439, 860338442]"
860338551,"[4631791324, 872558285, 860338549]"
860338553,"[860338564, 860338438, 860338497]"
860338554,[860338590]
860338555,"[867095692, 872558180, 2280678844]"
860338557,[860338466]
860338559,"[860338509, 860338497, 860338540]"
860338560,"[860338439, 5034061178, 4182358249]"
860338561,"[860338577, 860338492, 597262570]"
860338562,"[5034061179, 860338502, 860338439, 7527831193]"
860338563,"[4182358259, 860338449, 860338433]"
860338564,"[921145156, 860338553, 860338498]"
860338565,"[4182358262, 860338517, 860338541]"
860338566,"[7535661792, 860338583, 860338433]"
860338567,"[860338548, 4182358259, 4182358262]"
860338573,[860338576]
860338574,"[2280678827, 7535661790, 860338448]"
860338575,"[860338446, 860338590, 5034061183]"
860338576,"[860338573, 7527831185, 860338513]"
860338577,"[860338584, 860338561, 3242819187]"
860338581,"[860338423, 4182358251, 7520731929]"
860338582,"[860338449, 860338457, 860338504]"
860338583,"[860338566, 860338546, 4182358259]"
860338584,"[860338425, 860338577, 6598411369]"
860338586,"[860338500, 860338521, 4182358254]"
860338589,"[872558197, 872558270, 872558164]"
860338590,"[860338554, 860338593, 860338575]"
860338592,[860338505]
860338593,"[860338489, 860338540, 860338590]"
860812978,"[765870470, 1433691646]"
860812979,"[1433691646, 1433691591, 1433691586]"
867095687,"[867095709, 860338496, 2280678842, 872558253]"
867095689,"[7520731931, 871417861, 872558375]"
867095692,"[872558253, 872558285, 860338555]"
867095709,"[871417861, 597262570, 867095687]"
871417860,"[597262567, 7520731930, 597262570]"
871417861,"[7520731930, 867095689, 867095709]"
872558164,"[860338589, 4182222512, 860338453]"
872558171,"[4182222511, 872558303, 872558250]"
872558174,"[872558335, 872558290, 872558361]"
872558176,"[872558281, 872558199, 4182222512]"
872558178,"[872558361, 872558322, 872558300]"
872558180,"[872558327, 2280678848, 860338555, 872558227]"
872558181,"[872558393, 872558335]"
872558191,"[872558303, 872558300, 4182222511]"
872558193,[860338453]
872558195,"[872558220, 872558370, 860338549]"
872558197,"[872558221, 872558350, 860338589]"
872558199,"[872558176, 872558243, 872558300]"
872558200,"[860338476, 872558343, 872558354]"
872558203,"[872558322, 872558286, 872558309]"
872558220,"[872558250, 872558232, 872558195, 872558268]"
872558221,"[872558350, 872558273, 872558197]"
872558227,"[872558285, 872558180, 872558232]"
872558232,"[860338549, 872558227, 872558343, 872558220]"
872558243,"[4182222512, 872558199, 872558372]"
872558250,"[872558354, 872558171, 872558343, 872558220]"
872558252,"[872558354, 4182222511, 872558332]"
872558253,"[867095687, 867095692, 872558375]"
872558268,"[872558370, 872558220, 872558346]"
872558269,"[872558332, 872558286, 872558322, 4182222511]"
872558270,"[860338589, 4182222512, 7516311147]"
872558273,"[872558372, 7516311150, 872558221, 872558390]"
872558281,"[872558346, 872558303, 872558176]"
872558285,"[860338551, 867095692, 872558227]"
872558286,"[1904250963, 872558203, 872558269]"
872558290,"[872558392, 872558309, 872558174]"
872558300,"[872558199, 872558178, 872558191]"
872558301,"[872558325, 597262591, 860338441]"
872558303,"[872558281, 872558191, 872558171]"
872558306,"[860338523, 872558391, 1904250971]"
872558309,"[872558203, 872558290, 872558335]"
872558322,"[872558178, 872558269, 872558203, 872558392]"
872558325,"[872558374, 872558301, 1904250980]"
872558327,"[860338476, 872558343, 872558180]"
872558332,"[872558252, 595750359, 872558269]"
872558335,"[872558181, 872558309, 872558174]"
872558337,"[597262591, 597262475, 872558364]"
