original,connected,weight
4631778955,4631778956,6.36571454625868
2048462886,3828399220,6.92581863555275
4670358033,4670358031,14.1721812615986
4670358032,4670358030,14.176636147885901
4685473177,4685473178,9.03443615929848
4685480468,4685480484,3.21330571015175
4183864404,4685480467,1.6430766241547001
2048462904,4685480466,1.93170599246616
597262516,597262517,15.1882184505749
597262517,4181601813,3.9257904689058796
4181601813,1904250971,4.83924922175003
4181658454,597262516,9.04994015764067
4696023741,4696023742,0.7868193384025101
4696023739,4696023740,0.887667526404646
4696023739,4696023738,0.59376346404993
597262474,4735628235,15.6769337886852
4735628231,4735628232,2.76325191398765
5034061191,5034061190,6.02028194405296
5034061186,5034061185,17.4608958581856
5034061180,5034061179,14.1310152317422
5034061179,5034061178,11.4402858802257
5034061185,5034061183,12.1445746416128
5034061183,5034061180,8.85751343643189
5034061187,5034061186,2.35097369265841
6005220882,5034061191,25.929369933907203
3768408737,5034061187,4.647257688435181
5034061200,6005220882,7.80907655587111
5034061178,5034061175,13.2604015248064
5034061190,3768408737,2.75786484532901
436862086,355063175,17.0778908528024
595750358,595750359,1.23902278512902
7516311144,595760166,1.4228839497807
3828399480,3828399481,1.33180570804019
597262475,872558337,3.88775426903324
595760135,875533115,1.2707355429331701
2110338712,1904250977,5.35344550631244
917142627,765870470,7.73183231396609
597262546,1904250971,16.670743905366002
2750509426,1904250987,2.63815147488536
1904250981,1904250969,3.09547774678613
597262591,1904250980,11.512230047350801
436861500,1326196641,8.00501442851169
1326196641,7513261044,12.3644296804918
1433691633,1433691585,4.2377240943402
355403884,2048462963,6.49741038904255
436862084,2048415316,16.589435066293298
3828399489,2152737481,3.15526272835371
595760166,595750358,7.41697629534158
5034061175,7527831655,1.8107873013066702
1904250971,2110338712,16.7810438712332
872558337,597262591,4.4749815381383495
2477250031,2280678836,6.3057804832090705
355063399,3828399470,4.79800909751786
1326196627,4183978814,7.2952179144273
436832396,4131931175,5.59695870942982
917142522,917142627,12.8118270296464
846808283,4184001060,5.12968034585857
4062918115,4131931170,5.65585348409813
4183907783,355403884,3.2016396621711403
436862086,917142522,7.96465910303544
1904250987,4182358243,2.89604774661608
872558393,597262475,6.9727559952366605
917142696,595760171,3.5193379409137
597262582,872558393,10.1101617802288
1904250963,597262582,3.2198212376334197
1904250980,597262546,7.51408573475007
4182358243,1904250981,2.84063159138679
1326160764,1326196564,14.226904867814202
4131931170,436832396,7.9999788211299805
7513261044,1326196627,0.406171989666902
846808283,1326196580,12.546332256065401
765870470,1433691633,4.95238312526538
355063175,2049594031,3.91454209910777
1433691585,2477250031,1.6084227888095501
1904250960,2750509426,10.0903331160462
3828399475,3828399477,4.63199041121487
3828399470,3828399475,4.37267962463112
2048415316,436862086,13.993596113013899
3828399485,3828399489,3.2636420628000997
3828399481,3828399485,6.14415478655246
4184001060,4062918115,5.03750128883431
917142602,4183907785,7.180191459616831
875533115,917142696,8.91422729136149
2048462963,355063399,7.089875497005901
595760171,7516311144,4.8421621387772396
1904250977,7516324185,3.00779965341923
4183907785,4183907783,3.4369806052644796
595750359,1904250963,7.28747910690672
1326196564,436861500,13.149305530430201
3828399477,3828399480,4.22278171315031
7479330210,5034061200,20.5334997486752
436861500,5034061200,1.77079737128637
1904250969,5034061175,14.5080299018137
2049594083,917142602,3.64934158610846
1904250975,1904250960,5.059497015704499
7528331027,1326160764,13.800632414877501
1433691619,436862084,5.42299465607001
2049594031,2049594083,3.57421392072511
7516324185,1904250975,0.5105953704435591
1326196580,7528331027,1.91617290779425
5034061200,1433691619,22.0960553688382
5164654697,5164654698,7.82539136186344
5164654699,5164654701,11.583104837377501
5418415517,5418415516,10.7635270103183
4635108610,4784810914,7.121038891419261
5418415515,5418415514,9.02765391283866
5418416222,5418416221,3.91264378337146
5418415374,5418415373,2.68604996512023
5603927915,5603927916,2.1967026664463902
3734588280,2280678836,2.68104327832778
5999764816,5999764818,2.00445408449443
1433691639,1433691619,6.88588512942376
6008987170,6008987171,12.7906414930113
6005222262,6005222248,6.09659661016941
6005222261,1433691639,0.32407370972948
1433691571,6005220879,12.6030748588687
1433691639,6005222262,0.29080462686139896
6005222247,6005222261,13.251081643614501
6005222262,6005222251,17.3677102099069
917142672,2280678851,2.69573915974673
2049593965,6239485713,7.82255996124414
6391202155,6391202156,1.8452773310676398
2048463002,4670358031,7.60748947557726
7483879014,7483879016,9.01030313366996
7483879021,7483879022,1.85111929718676
7483879290,7483879291,2.96867965907555
7483988598,7483988599,1.8784957580236898
7483879288,7483879289,3.48349214641535
4181719223,4181719224,7.80598902321664
355779944,7513254339,13.0255527348951
7516311146,7516311145,6.86857638876724
7535653477,7535653476,6.05024016604779
7516324184,4182358256,4.4546147772674205
7535661789,7535653482,8.786912906242609
